Customer ID,Total_Orders,Total_Revenue,Total_Profit,Total_Quantity,Avg_Order_Value,Avg_Discount,First_Order,Last_Order,Unique_Products,Unique_Categories,Avg_Profit_Margin,Recency (Days),Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment,Customer Name,Segment
CM-12160,6,2533.31,-394.37,23,361.9,0.24,2016-10-21,2017-12-04,7,3,-15.17,26,6,2533.31,5,3,3,11,Loyal Customers,Charles McCrossin,Consumer
CM-12190,6,1475.14,91.2,21,210.73,0.07,2015-09-18,2017-12-22,7,3,9.89,8,6,1475.14,5,3,2,10,Loyal Customers,Charlotte Melton,Consumer
CM-12235,5,2305.71,365.04,28,288.21,0.08,2016-05-01,2016-12-10,8,3,33.91,385,5,2305.71,1,2,3,6,Cant Lose Them,Chris McAfee,Consumer
CM-12385,4,8954.02,3899.89,34,895.4,0.12,2015-03-16,2017-11-23,10,3,17.9,37,4,8954.02,4,1,5,10,Loyal Customers,Christopher Martinez,Consumer
CM-12445,3,287.99,64.43,32,32.0,0.08,2014-06-09,2016-10-20,9,2,26.75,436,3,287.99,1,1,1,3,Lost/Hibernating,Chuck Magee,Consumer
CM-12655,6,6339.56,1572.46,42,633.96,0.07,2015-03-19,2017-12-03,10,3,24.34,27,6,6339.56,4,3,5,12,Loyal Customers,Corinna Mitchell,Home Office
CM-12715,4,3984.45,176.31,57,306.5,0.31,2014-03-07,2015-03-01,13,3,-22.49,1035,4,3984.45,1,1,4,6,Cant Lose Them,Craig Molinari,Corporate
CP-12085,8,5402.25,427.03,57,385.88,0.14,2014-12-04,2017-10-09,14,3,14.45,82,8,5402.25,3,4,5,12,Loyal Customers,Cathy Prescott,Corporate
CP-12340,8,5888.28,-1850.3,59,392.55,0.21,2014-03-17,2017-07-23,15,3,1.31,160,8,5888.28,2,4,5,11,Loyal Customers,Christine Phan,Corporate
CR-12580,4,2148.85,74.4,32,358.14,0.13,2016-04-18,2017-11-03,6,3,20.46,57,4,2148.85,3,1,3,7,Need Attention,Clay Rozendal,Home Office
CR-12625,3,475.9,144.76,14,118.98,0.0,2014-06-01,2016-09-16,4,2,37.25,470,3,475.9,1,1,1,3,Lost/Hibernating,Corey Roper,Home Office
CR-12730,4,1600.55,306.92,18,266.76,0.27,2014-08-20,2017-10-13,6,2,4.01,78,4,1600.55,3,1,2,6,Need Attention,Craig Reiter,Consumer
CR-12820,3,1397.87,83.27,26,199.7,0.13,2015-01-24,2017-10-06,7,3,13.02,85,3,1397.87,3,1,2,6,Need Attention,Cyra Reiten,Home Office
CS-11845,5,1278.95,185.38,22,159.87,0.28,2014-12-14,2017-09-30,8,3,-15.59,91,5,1278.95,3,2,2,7,Need Attention,Cari Sayre,Corporate
CS-11860,6,537.63,105.83,16,76.8,0.23,2014-05-02,2017-07-21,7,2,3.21,162,6,537.63,2,3,1,6,At Risk,Cari Schnelling,Consumer
CS-11950,11,3036.55,-126.42,68,138.02,0.26,2014-06-08,2017-12-05,22,3,-10.5,25,11,3036.55,5,5,4,14,Champions,Carlos Soltero,Consumer
CS-12130,4,884.64,143.83,28,126.38,0.11,2014-08-05,2016-08-28,7,3,23.79,489,4,884.64,1,1,1,3,Lost/Hibernating,Chad Sievert,Consumer
CS-12175,5,844.46,113.14,30,105.56,0.16,2014-08-12,2017-05-12,8,2,12.27,232,5,844.46,1,2,1,4,Lost/Hibernating,Charles Sheldon,Corporate
CS-12250,12,2754.22,738.36,97,98.36,0.06,2014-01-13,2017-12-04,28,3,34.84,26,12,2754.22,5,5,4,14,Champions,Chris Selesnick,Corporate
CS-12355,11,3202.16,831.94,74,145.55,0.08,2014-08-15,2017-12-24,22,3,29.19,6,11,3202.16,5,5,4,14,Champions,Christine Sundaresam,Consumer
CS-12400,9,3651.86,-342.8,47,260.85,0.21,2014-09-26,2017-12-28,13,3,0.86,2,9,3651.86,5,5,4,14,Champions,Christopher Schild,Home Office
CS-12460,2,550.64,156.26,13,91.77,0.07,2017-07-03,2017-12-03,6,3,32.5,27,2,550.64,4,1,1,6,New Customers,Chuck Sachs,Consumer
CS-12490,4,1077.23,-302.88,33,119.69,0.25,2015-01-12,2016-11-01,9,3,2.75,424,4,1077.23,1,1,2,4,Lost/Hibernating,Cindy Schnelling,Corporate
CS-12505,6,5690.05,-6626.39,40,632.23,0.2,2014-03-26,2017-11-02,9,2,3.32,58,6,5690.05,3,3,5,11,Loyal Customers,Cindy Stewart,Consumer
CT-11995,8,3241.9,161.23,60,180.11,0.16,2014-05-07,2017-09-25,18,3,2.79,96,8,3241.9,3,4,4,11,Loyal Customers,Carol Triggs,Consumer
CV-12295,5,2830.63,493.09,54,217.74,0.08,2014-03-28,2017-04-20,13,3,29.69,254,5,2830.63,1,2,4,7,Cant Lose Them,Christina VanderZanden,Consumer
CV-12805,9,2370.31,99.0,62,124.75,0.24,2016-05-09,2017-12-25,19,3,-9.97,5,9,2370.31,5,5,3,13,Champions,Cynthia Voltz,Corporate
CW-11905,6,1136.59,370.83,40,103.33,0.09,2014-06-09,2017-12-08,11,2,29.45,22,6,1136.59,5,3,2,10,Loyal Customers,Carl Weiss,Home Office
CY-12745,8,2900.03,60.65,43,263.64,0.2,2014-12-12,2017-10-31,11,3,9.91,60,8,2900.03,3,4,4,11,Loyal Customers,Craig Yedwab,Corporate
Co-12640,5,1300.08,205.63,30,162.51,0.18,2014-06-20,2016-06-29,8,3,14.66,549,5,1300.08,1,2,2,5,Lost/Hibernating,Corey-Lock,Consumer
DA-13450,4,156.76,56.79,27,19.6,0.12,2014-04-25,2017-01-12,8,3,29.88,352,4,156.76,1,1,1,3,Lost/Hibernating,Dianna Arnett,Home Office
DB-12910,8,2171.6,431.37,47,180.97,0.15,2014-10-24,2017-12-09,12,3,16.96,21,8,2171.6,5,4,3,12,Loyal Customers,Daniel Byrd,Home Office
DB-12970,5,2839.23,213.0,43,202.8,0.17,2014-11-12,2017-05-03,14,3,13.34,241,5,2839.23,1,2,4,7,Cant Lose Them,Darren Budd,Corporate
DB-13060,7,4531.65,473.03,48,348.59,0.18,2014-03-01,2017-12-14,13,3,2.94,16,7,4531.65,5,3,5,13,Champions,Dave Brooks,Consumer
DB-13120,7,2973.09,-1421.77,59,212.36,0.14,2015-05-01,2017-11-12,14,3,15.27,48,7,2973.09,4,3,4,11,Loyal Customers,David Bremer,Corporate
DB-13210,10,2332.58,169.97,75,111.08,0.19,2015-03-22,2017-12-21,21,3,5.53,9,10,2332.58,5,5,3,13,Champions,Dean Braden,Consumer
DB-13270,8,4655.9,841.83,52,358.15,0.21,2014-02-04,2017-11-07,13,3,-6.39,53,8,4655.9,4,4,5,13,Champions,Deborah Brumfield,Home Office
DB-13360,5,1081.47,291.01,28,180.24,0.08,2014-11-19,2017-04-10,6,3,33.86,264,5,1081.47,1,2,2,5,Lost/Hibernating,Dennis Bolton,Home Office
DB-13405,4,1711.69,438.91,62,122.26,0.03,2015-08-08,2017-06-26,14,3,30.02,187,4,1711.69,2,1,2,5,Lost/Hibernating,Denny Blanton,Consumer
DB-13555,7,3908.8,109.33,61,279.2,0.15,2014-04-21,2017-09-14,14,3,9.6,107,7,3908.8,2,3,4,9,At Risk,Dorothy Badders,Corporate
DB-13615,7,1989.05,438.8,41,180.82,0.15,2014-09-30,2017-11-27,11,2,24.18,33,7,1989.05,4,3,3,10,Loyal Customers,Doug Bickford,Consumer
DB-13660,7,1155.2,177.67,33,115.52,0.16,2014-06-17,2017-12-18,10,3,11.72,12,7,1155.2,5,3,2,10,Loyal Customers,Duane Benoit,Consumer
DC-12850,9,3336.17,-1441.63,64,185.34,0.21,2014-07-05,2017-11-23,18,3,4.75,37,9,3336.17,4,5,4,13,Champions,Dan Campbell,Consumer
DC-13285,5,1174.62,132.07,37,167.8,0.08,2014-12-29,2017-12-07,7,3,16.68,23,5,1174.62,5,2,2,9,New Customers,Debra Catini,Consumer
DD-13570,6,269.54,36.43,33,29.95,0.24,2014-03-31,2017-11-19,9,2,-15.06,41,6,269.54,4,3,1,8,Potential Loyalists,Dorothy Dickinson,Consumer
DE-13255,5,2550.87,464.47,38,283.43,0.11,2014-08-22,2016-01-11,9,3,21.49,719,5,2550.87,1,2,3,6,Cant Lose Them,Deanra Eno,Home Office
DF-13135,3,2390.53,-259.31,23,398.42,0.28,2014-10-04,2016-01-30,6,3,-17.42,700,3,2390.53,1,1,3,5,Cant Lose Them,David Flashing,Consumer
DG-13300,5,3195.82,562.78,39,399.48,0.1,2014-11-01,2017-11-28,8,3,22.59,32,5,3195.82,4,2,4,10,Loyal Customers,Deirdre Greer,Corporate
DH-13075,6,4932.87,1193.74,81,214.47,0.08,2014-11-21,2017-03-28,23,3,18.63,277,6,4932.87,1,3,5,9,At Risk,Dave Hallsten,Corporate
DH-13675,4,1043.1,116.67,41,94.83,0.12,2014-08-12,2015-11-15,11,3,17.67,776,4,1043.1,1,1,2,4,Lost/Hibernating,Duane Huffman,Home Office
DJ-13420,4,2012.52,483.04,20,402.5,0.0,2014-12-08,2016-04-02,5,2,29.8,637,4,2012.52,1,1,3,5,Cant Lose Them,Denny Joy,Corporate
DJ-13510,8,2501.69,345.25,52,192.44,0.07,2014-08-17,2017-11-12,13,3,28.34,48,8,2501.69,4,4,3,11,Loyal Customers,Don Jones,Corporate
DJ-13630,3,3356.4,731.56,43,419.55,0.06,2015-12-14,2017-12-18,8,3,25.62,12,3,3356.4,5,1,4,10,Loyal Customers,Doug Jacobs,Consumer
DK-12835,12,3256.48,881.12,86,120.61,0.18,2014-03-26,2017-12-09,27,3,16.05,21,12,3256.48,5,5,4,14,Champions,Damala Kotsonis,Corporate
DK-12895,5,4282.18,937.65,65,285.48,0.08,2015-03-08,2017-11-15,15,3,23.38,45,5,4282.18,4,2,4,10,Loyal Customers,Dana Kaydos,Consumer
DK-12985,5,1687.04,-107.35,32,210.88,0.16,2014-11-24,2017-12-23,8,2,5.34,7,5,1687.04,5,2,2,9,New Customers,Darren Koutras,Consumer
DK-13090,7,2650.56,536.39,33,203.89,0.14,2015-03-02,2017-11-18,13,3,18.99,42,7,2650.56,4,3,3,10,Loyal Customers,Dave Kipp,Consumer
DK-13150,2,797.83,249.94,20,159.57,0.12,2014-12-05,2017-12-20,5,2,31.85,10,2,797.83,5,1,1,7,New Customers,David Kendrick,Corporate
DK-13225,9,4802.39,209.9,70,252.76,0.19,2014-03-14,2017-12-20,19,3,5.31,10,9,4802.39,5,5,5,15,Champions,Dean Katz,Corporate
DK-13375,8,3318.49,377.08,77,144.28,0.11,2014-09-07,2017-12-11,23,3,10.53,19,8,3318.49,5,4,4,13,Champions,Dennis Kane,Consumer
DL-12865,8,1503.11,322.24,51,107.37,0.15,2014-06-29,2017-09-21,14,3,22.29,100,8,1503.11,3,4,2,9,Potential Loyalists,Dan Lawera,Consumer
DL-12925,6,3272.2,4.21,43,233.73,0.04,2014-09-09,2017-11-03,14,3,28.14,57,6,3272.2,3,3,4,10,Loyal Customers,Daniel Lacy,Consumer
DL-13315,8,1458.26,288.87,74,85.78,0.18,2014-01-16,2017-12-08,17,3,9.07,22,8,1458.26,5,4,2,11,Loyal Customers,Delfina Latchford,Consumer
DL-13330,4,585.02,222.68,32,73.13,0.05,2014-06-23,2017-11-03,8,3,30.5,57,4,585.02,3,1,1,5,Need Attention,Denise Leinenbach,Consumer
DL-13495,8,3539.32,-52.79,33,294.94,0.05,2015-12-25,2017-10-15,12,3,27.65,76,8,3539.32,3,4,4,11,Loyal Customers,Dionis Lloyd,Corporate
DM-12955,7,1322.03,108.76,28,146.89,0.17,2014-09-30,2017-09-07,9,2,15.67,114,7,1322.03,2,3,2,7,At Risk,Dario Medina,Corporate
DM-13015,7,6345.1,1677.39,87,317.26,0.23,2014-09-14,2017-11-03,19,3,4.53,57,7,6345.1,3,3,5,11,Loyal Customers,Darrin Martin,Consumer
DM-13345,8,4074.47,1319.06,41,313.42,0.1,2014-11-03,2017-12-08,13,3,24.81,22,8,4074.47,5,4,4,13,Champions,Denise Monton,Corporate
DM-13525,3,1376.79,199.77,33,137.68,0.17,2014-07-05,2016-09-05,10,3,14.4,481,3,1376.79,1,1,2,4,Lost/Hibernating,Don Miller,Corporate
DN-13690,7,2139.79,540.54,41,194.53,0.02,2014-09-20,2017-05-27,11,3,29.89,217,7,2139.79,2,3,3,8,At Risk,Duane Noonan,Consumer
DO-13435,9,1300.03,-38.91,48,100.0,0.16,2014-10-03,2017-08-19,13,3,16.42,133,9,1300.03,2,5,2,9,At Risk,Denny Ordway,Consumer
DO-13645,7,1267.32,294.07,36,115.21,0.09,2015-11-07,2017-12-04,10,3,26.68,26,7,1267.32,5,3,2,10,Loyal Customers,Doug O'Connell,Consumer
DP-13000,9,1050.64,241.45,58,61.8,0.21,2014-01-03,2017-08-26,17,3,13.15,126,9,1050.64,2,5,2,9,At Risk,Darren Powers,Consumer
DP-13105,8,2215.0,563.18,63,158.21,0.11,2015-08-22,2017-12-24,14,3,26.86,6,8,2215.0,5,4,3,12,Loyal Customers,Dave Poirier,Corporate
DP-13165,2,1058.62,-40.94,20,264.65,0.15,2014-12-02,2015-10-10,4,3,19.44,812,2,1058.62,1,1,2,4,Lost/Hibernating,David Philippe,Consumer
DP-13390,9,5480.72,1571.83,50,391.48,0.19,2014-07-05,2017-01-06,14,2,2.34,358,9,5480.72,1,5,5,11,Loyal Customers,Dennis Pardue,Home Office
DR-12880,9,6528.03,1641.86,103,272.0,0.13,2015-09-25,2017-12-27,24,3,18.25,3,9,6528.03,5,5,5,15,Champions,Dan Reichenbach,Corporate
DR-12940,8,8350.87,2869.08,57,642.37,0.15,2014-03-28,2017-11-10,13,3,3.91,50,8,8350.87,4,4,5,13,Champions,Daniel Raglin,Home Office
DS-13030,4,1762.21,193.33,54,92.75,0.14,2014-07-09,2017-09-28,19,3,17.13,93,4,1762.21,3,1,3,7,Need Attention,Darrin Sayre,Home Office
DS-13180,9,2881.81,163.7,68,144.09,0.15,2014-04-28,2017-12-07,20,3,10.02,23,9,2881.81,5,5,4,14,Champions,David Smith,Corporate
DV-13045,5,1119.48,-427.18,28,124.39,0.17,2016-06-12,2017-12-11,9,3,8.52,19,5,1119.48,5,2,2,9,New Customers,Darrin Van Huff,Corporate
DV-13465,6,3341.59,353.21,62,222.77,0.11,2014-06-22,2017-12-01,15,2,15.42,29,6,3341.59,4,3,4,11,Loyal Customers,Dianna Vittorini,Consumer
DW-13195,6,1080.75,-86.87,39,120.08,0.24,2014-01-18,2017-10-22,9,3,1.16,69,6,1080.75,3,3,2,8,Potential Loyalists,David Wiener,Corporate
DW-13480,5,5271.63,1348.76,38,479.24,0.04,2014-06-01,2017-05-27,11,3,29.57,217,5,5271.63,2,2,5,9,Cant Lose Them,Dianna Wilson,Home Office
DW-13540,5,344.08,69.67,21,38.23,0.18,2016-02-27,2017-09-23,9,2,18.17,98,5,344.08,3,2,1,6,Need Attention,Don Weiss,Consumer
DW-13585,7,1204.85,-266.9,44,120.49,0.17,2014-08-24,2017-05-02,10,3,12.28,242,7,1204.85,1,3,2,6,At Risk,Dorothy Wardle,Corporate
Dl-13600,5,755.6,175.24,19,125.93,0.22,2014-03-30,2017-09-02,6,2,-23.38,119,5,755.6,2,2,1,5,Lost/Hibernating,Dorris liebe,Corporate
Dp-13240,11,7198.76,333.36,99,248.23,0.19,2014-05-26,2017-10-07,29,3,10.04,84,11,7198.76,3,5,5,13,Champions,Dean percer,Home Office
EA-14035,13,2846.7,-52.74,87,113.87,0.3,2014-09-13,2017-07-31,24,3,-5.99,152,13,2846.7,2,5,4,11,Loyal Customers,Erin Ashbrook,Corporate
EB-13705,9,3644.98,13.62,55,303.75,0.26,2014-07-08,2017-11-12,12,3,7.94,48,9,3644.98,4,5,4,13,Champions,Ed Braxton,Corporate
EB-13750,10,3236.31,-80.29,91,161.82,0.14,2015-03-12,2017-11-25,20,3,11.76,35,10,3236.31,4,5,4,13,Champions,Edward Becker,Corporate
EB-13840,5,4358.13,656.2,41,544.77,0.12,2014-05-30,2017-10-01,8,2,18.59,90,5,4358.13,3,2,5,10,Loyal Customers,Ellis Ballard,Corporate
EB-13870,10,2767.22,261.53,41,251.57,0.29,2014-05-05,2017-09-21,11,3,-12.64,100,10,2767.22,3,5,4,12,Loyal Customers,Emily Burns,Consumer
EB-13930,5,944.6,0.6,24,134.94,0.17,2014-02-02,2017-07-22,7,3,11.22,161,5,944.6,2,2,1,5,Lost/Hibernating,Eric Barreto,Consumer
EB-13975,4,1643.26,162.88,18,273.88,0.28,2016-01-04,2017-12-30,6,2,-0.9,0,4,1643.26,5,1,2,8,New Customers,Erica Bern,Corporate
EB-14110,6,3071.13,184.77,30,279.19,0.21,2015-04-13,2017-09-08,11,3,11.59,113,6,3071.13,2,3,4,9,At Risk,Eugene Barchas,Consumer
EB-14170,6,1186.33,282.17,20,169.48,0.23,2014-09-29,2017-10-09,7,2,22.89,82,6,1186.33,3,3,2,8,Potential Loyalists,Evan Bailliet,Consumer
EC-14050,5,461.91,96.43,37,65.99,0.1,2014-12-17,2017-11-07,7,3,19.24,53,5,461.91,4,2,1,7,New Customers,Erin Creighton,Consumer
ED-13885,8,3484.92,670.44,54,248.92,0.21,2014-08-09,2017-08-17,14,3,-8.09,135,8,3484.92,2,4,4,10,Loyal Customers,Emily Ducich,Home Office
EG-13900,5,1832.02,104.27,44,203.56,0.2,2015-11-02,2017-12-08,9,3,-3.29,22,5,1832.02,5,2,3,10,Loyal Customers,Emily Grady,Consumer
EH-13765,12,10310.88,1393.52,120,322.22,0.07,2014-04-12,2017-08-17,32,2,29.42,135,12,10310.88,2,5,5,12,Loyal Customers,Edward Hooks,Corporate
EH-13945,8,684.17,53.54,72,40.25,0.29,2014-07-02,2017-05-27,17,3,-8.6,217,8,684.17,2,4,1,7,At Risk,Eric Hoffmann,Consumer
EH-13990,6,825.95,150.38,20,103.24,0.06,2014-01-15,2016-11-20,8,3,28.68,405,6,825.95,1,3,1,5,At Risk,Erica Hackney,Consumer
EH-14005,7,1219.53,-94.14,50,110.87,0.17,2014-05-13,2017-12-28,11,3,20.27,2,7,1219.53,5,3,2,10,Loyal Customers,Erica Hernandez,Home Office
EH-14125,10,3082.65,96.27,76,171.26,0.21,2014-10-19,2017-07-31,18,3,4.06,152,10,3082.65,2,5,4,11,Loyal Customers,Eugene Hildebrand,Home Office
EH-14185,6,923.88,242.11,22,115.49,0.29,2014-05-22,2017-09-16,8,2,-9.78,105,6,923.88,2,3,1,6,At Risk,Evan Henry,Consumer
EJ-13720,4,2162.17,387.02,31,270.27,0.18,2014-01-27,2017-03-03,8,3,-1.09,302,4,2162.17,1,1,3,5,Cant Lose Them,Ed Jacobs,Consumer
EJ-14155,5,2656.69,451.88,31,332.09,0.06,2014-03-03,2017-11-03,8,3,23.17,57,5,2656.69,3,2,3,8,Need Attention,Eva Jacobs,Consumer
EK-13795,4,1303.48,97.11,18,325.87,0.09,2014-03-18,2017-11-16,4,3,19.66,44,4,1303.48,4,1,2,7,New Customers,Eileen Kiefer,Home Office
EL-13735,2,124.28,27.12,9,62.14,0.0,2016-04-22,2017-10-14,2,2,29.5,77,2,124.28,3,1,1,5,Need Attention,Ed Ludwig,Home Office
EM-13810,5,2567.01,-133.83,23,366.72,0.14,2015-06-07,2017-08-20,7,3,15.76,132,5,2567.01,2,2,3,7,Cant Lose Them,Eleni McCrary,Corporate
EM-13825,8,2339.6,682.55,57,146.22,0.06,2014-12-02,2017-11-05,16,3,29.28,55,8,2339.6,3,4,3,10,Loyal Customers,Elizabeth Moffitt,Corporate
EM-13960,5,933.7,102.3,18,155.62,0.23,2015-10-01,2017-08-01,5,2,-13.71,151,5,933.7,2,2,1,5,Lost/Hibernating,Eric Murdock,Consumer
EM-14065,4,228.99,40.15,22,38.16,0.25,2014-07-22,2017-11-13,6,3,-0.93,47,4,228.99,4,1,1,6,New Customers,Erin Mull,Consumer
EM-14095,4,1041.04,240.24,34,104.1,0.1,2015-08-07,2017-09-08,10,2,27.78,113,4,1041.04,2,1,2,5,Lost/Hibernating,Eudokia Martin,Corporate
EM-14140,6,4588.44,1319.37,74,218.5,0.07,2014-07-19,2017-11-12,21,3,31.08,48,6,4588.44,4,3,5,12,Loyal Customers,Eugene Moren,Home Office
EM-14200,3,366.82,21.77,13,91.71,0.12,2015-12-20,2017-07-25,4,3,26.58,158,3,366.82,2,1,1,4,Lost/Hibernating,Evan Minnotte,Home Office
EN-13780,4,2199.37,496.11,27,244.37,0.04,2015-05-30,2017-03-18,9,3,24.47,287,4,2199.37,1,1,3,5,Cant Lose Them,Edward Nazzal,Consumer
EP-13915,17,5478.06,144.96,124,176.71,0.2,2014-07-06,2017-12-18,30,3,3.02,12,17,5478.06,5,5,5,15,Champions,Emily Phan,Consumer
ER-13855,3,1245.79,-295.74,27,249.16,0.2,2015-12-21,2016-11-04,5,2,-1.37,421,3,1245.79,1,1,2,4,Lost/Hibernating,Elpida Rittenbach,Corporate
ES-14020,5,3510.46,1003.29,31,438.81,0.12,2014-09-20,2017-11-20,8,3,23.28,40,5,3510.46,4,2,4,10,Loyal Customers,Erica Smith,Consumer
ES-14080,9,4657.92,246.67,77,232.9,0.26,2014-10-02,2017-12-02,20,3,1.7,28,9,4657.92,4,5,5,14,Champions,Erin Smith,Corporate
FA-14230,7,2984.05,520.52,58,175.53,0.26,2014-09-19,2017-09-24,17,3,7.24,97,7,2984.05,3,3,4,10,Loyal Customers,Frank Atkinson,Corporate
FC-14245,7,3418.74,1217.17,50,244.2,0.14,2015-06-13,2017-10-21,14,3,20.09,70,7,3418.74,3,3,4,10,Loyal Customers,Frank Carlisle,Home Office
FC-14335,7,3889.37,714.29,37,388.94,0.16,2014-10-10,2017-06-29,10,3,21.08,184,7,3889.37,2,3,4,9,At Risk,Fred Chung,Corporate
FG-14260,7,1383.14,394.74,48,125.74,0.12,2014-05-21,2017-11-26,11,2,20.64,34,7,1383.14,4,3,2,9,Potential Loyalists,Frank Gastineau,Home Office
FH-14275,10,4256.27,1073.27,65,202.68,0.13,2014-04-06,2017-11-23,21,3,23.74,37,10,4256.27,4,5,4,13,Champions,Frank Hawley,Corporate
FH-14350,4,2271.28,706.29,52,162.23,0.11,2015-08-23,2017-06-01,14,3,21.92,212,4,2271.28,2,1,3,6,Cant Lose Them,Fred Harton,Consumer
FH-14365,8,6987.2,2050.28,52,537.48,0.14,2014-10-20,2017-12-25,13,3,14.44,5,8,6987.2,5,4,5,14,Champions,Fred Hopkins,Corporate
FM-14215,10,2456.64,249.68,48,163.78,0.09,2014-03-11,2017-12-23,15,3,23.52,7,10,2456.64,5,5,3,13,Champions,Filia McAdams,Corporate
FM-14290,9,3736.2,198.11,79,186.81,0.18,2014-08-26,2017-11-24,20,2,-1.24,36,9,3736.2,4,5,4,13,Champions,Frank Merwin,Home Office
FM-14380,9,2523.27,191.49,53,180.23,0.16,2015-07-12,2017-08-07,14,3,9.07,145,9,2523.27,2,5,3,10,Loyal Customers,Fred McMath,Consumer
FO-14305,10,2678.44,215.6,60,178.56,0.22,2014-06-09,2017-11-22,14,3,-3.68,38,10,2678.44,4,5,3,12,Loyal Customers,Frank Olsen,Consumer
FP-14320,8,4046.75,406.45,54,289.05,0.14,2014-12-07,2017-12-07,14,3,21.96,23,8,4046.75,5,4,4,13,Champions,Frank Preis,Consumer
FW-14395,3,79.75,23.49,9,26.58,0.0,2015-03-22,2017-01-02,3,2,30.33,362,3,79.75,1,1,1,3,Lost/Hibernating,Fred Wasserman,Corporate
GA-14515,8,3919.78,840.9,48,279.98,0.06,2014-05-18,2017-08-03,14,3,30.87,149,8,3919.78,2,4,4,10,Loyal Customers,George Ashbrook,Consumer
GA-14725,11,1398.38,136.71,79,63.56,0.18,2014-02-11,2017-12-25,22,3,2.2,5,11,1398.38,5,5,2,12,Loyal Customers,Guy Armstrong,Consumer
GB-14530,11,1568.44,7.84,62,78.42,0.17,2014-04-28,2017-10-29,19,3,11.31,62,11,1568.44,3,5,2,10,Loyal Customers,George Bell,Corporate
GB-14575,5,4716.29,1135.84,63,294.77,0.04,2015-06-12,2017-12-17,16,3,31.78,13,5,4716.29,5,2,5,12,Loyal Customers,Giulietta Baptist,Consumer
GD-14590,4,1888.07,230.94,25,314.68,0.13,2014-05-05,2017-12-25,6,2,28.47,5,4,1888.07,5,1,3,9,New Customers,Giulietta Dortch,Corporate
GG-14650,9,2224.0,12.7,92,92.67,0.15,2014-10-31,2017-11-17,24,3,15.92,43,9,2224.0,4,5,3,12,Loyal Customers,Greg Guthrie,Corporate
GH-14410,9,2819.47,-576.83,65,165.85,0.27,2014-07-09,2017-10-16,17,3,-16.48,75,9,2819.47,3,5,4,12,Loyal Customers,Gary Hansen,Home Office
GH-14425,4,4172.85,1176.42,51,417.28,0.19,2014-06-17,2017-11-10,10,3,16.98,50,4,4172.85,4,1,4,9,New Customers,Gary Hwang,Consumer
GH-14485,2,1361.24,-95.45,15,453.75,0.47,2015-10-08,2016-12-08,3,2,-54.58,387,2,1361.24,1,1,2,4,Lost/Hibernating,Gene Hale,Corporate
GH-14665,2,146.94,-5.81,9,48.98,0.24,2015-11-17,2017-12-28,3,2,0.93,2,2,146.94,5,1,1,7,New Customers,Greg Hansen,Consumer
GK-14620,9,6497.27,1448.55,66,464.09,0.16,2014-06-25,2017-09-09,14,3,22.44,112,9,6497.27,2,5,5,12,Loyal Customers,Grace Kelly,Corporate
GM-14440,7,3582.82,347.27,43,325.71,0.12,2014-03-21,2017-10-08,11,3,15.82,83,7,3582.82,3,3,4,10,Loyal Customers,Gary McGarr,Consumer
GM-14455,6,3078.62,793.28,54,256.55,0.17,2014-04-11,2017-12-14,12,3,17.04,16,6,3078.62,5,3,4,12,Loyal Customers,Gary Mitchum,Home Office
GM-14500,10,1255.68,441.32,53,96.59,0.12,2014-08-09,2017-09-15,13,3,29.12,106,10,1255.68,2,5,2,9,At Risk,Gene McClure,Consumer
GM-14680,6,3163.63,35.49,31,287.6,0.15,2014-05-10,2017-07-31,11,3,14.95,152,6,3163.63,2,3,4,9,At Risk,Greg Matthias,Consumer
GM-14695,3,6049.97,188.72,44,550.0,0.05,2014-04-05,2017-09-04,11,3,29.23,117,3,6049.97,2,1,5,8,Cant Lose Them,Greg Maxwell,Corporate
GP-14740,2,236.53,31.84,21,47.31,0.14,2014-04-06,2015-11-26,5,1,17.6,765,2,236.53,1,1,1,3,Lost/Hibernating,Guy Phonely,Corporate
GR-14560,2,1284.38,359.83,23,256.88,0.0,2014-11-19,2014-11-21,5,2,42.6,1135,2,1284.38,1,1,2,4,Lost/Hibernating,Georgia Rosenberg,Corporate
GT-14635,3,9351.21,-4108.66,26,1558.54,0.25,2014-06-06,2017-11-04,6,3,3.42,56,3,9351.21,3,1,5,9,Need Attention,Grant Thornton,Corporate
GT-14710,11,11820.12,2163.43,106,407.59,0.1,2014-05-23,2017-11-24,28,3,28.56,36,11,11820.12,4,5,5,14,Champions,Greg Tran,Consumer
GT-14755,4,226.44,-6.14,23,32.35,0.2,2015-02-18,2017-11-26,7,2,-3.07,34,4,226.44,4,1,1,6,New Customers,Guy Thornton,Consumer
GW-14605,7,2189.02,-268.54,43,243.22,0.16,2014-03-01,2017-12-02,9,3,6.75,28,7,2189.02,4,3,3,10,Loyal Customers,Giulietta Weimer,Consumer
GZ-14470,9,4355.15,1087.75,48,311.08,0.08,2014-08-05,2017-12-23,14,3,29.5,7,9,4355.15,5,5,5,15,Champions,Gary Zandusky,Consumer
GZ-14545,4,2454.62,828.66,25,490.92,0.04,2014-09-28,2017-07-26,5,3,27.1,157,4,2454.62,2,1,3,6,Cant Lose Them,George Zrebassa,Corporate
